G_name,RoomID,RoomName,BlogName,HotPoint
英雄联盟,176611,大乱斗 大乱斗 大乱斗,乱斗主播凌阿,17000.0
英雄联盟,239608,狮子专场：峡谷钻石局教学,MQ丶五月末,17000.0
英雄联盟,7661186,养只小朵儿叭qaq,甜朵朵朵,17000.0
英雄联盟,6207647,宿昔-低分段上分教学，包上钻石！,宿昔啾,17000.0
英雄联盟,2253972,可不可以和你在一起 2253972,瑶妖灵,16000.0
英雄联盟,6733684,宝蓝baolan宁ning，热狗2台,BiG热狗OB专属宝蓝阿水,16000.0
英雄联盟,1612214,天神下饭：真捞上单,刘奋解说之顶尖瑞文,16000.0
英雄联盟,6090331,【黑色玫瑰】有木有甜蜜双排的~,许清绾,16000.0
英雄联盟,7642434,中路AP杀神--约德尔系列,一个俊兮兮,16000.0
英雄联盟,8309128,万场剑圣，国服顶尖剑圣。一打九,Empty馨,16000.0
英雄联盟,4609224,花花：日常坑队友系列【9点见】,花如墨,16000.0
英雄联盟,7167368,小迪金克斯1V9,小迪金克喵,16000.0
英雄联盟,5953587,对面的臭弟弟等着被锤爆吧！,奶金瑶,15000.0
英雄联盟,7238010,两万场老龙女！！！开饭！,GbbAhcian,15000.0
英雄联盟,7341873,网一一起来玩鸭！~,风会带来你的讯息,15000.0
英雄联盟,7610259,战士上单，上单战士,流止无痕,15000.0
英雄联盟,3293767,祖安ADking,自闭小路,15000.0
英雄联盟,833292,感恩有你，谢你陪伴,爱吃辣椒的七彩琉璃兔,15000.0
英雄联盟,6186598,峡谷之巅90胜率冲大师,川酱z,15000.0
英雄联盟,6561382,喜欢螳螂哦？我教你^_^,轩业卡兹克,15000.0
英雄联盟,6486751,哚哚：欢迎上车-6486751,哚哚大人,15000.0
英雄联盟,560721,克隆模式 等你来战,诺克丶王小旭,15000.0
英雄联盟,8359749,娱乐主播看看就行了,麻瓜白轩轩一枚,14000.0
英雄联盟,4734867,不会真有声音好听又能乱杀的猛男叭,Ks树,14000.0
英雄联盟,7409149,还是小丑好玩阿,风霖zzz,14000.0
英雄联盟,7921966,6张卡上车哦有车位的呢,M416Nana,14000.0
英雄联盟,5456024,钟晴维克托：  网一 下饭战神~,月下钟晴i,14000.0
英雄联盟,1081721,36岁老塞恩勇闯峡谷,玩偶大叔,14000.0
英雄联盟,7611948,金戈铁马丶马鞍山红尘xc,红尘有酒几多愁丶,14000.0
英雄联盟,1124335,温柔戏命师,委屈吗,14000.0
英雄联盟,284297,姐！我不想努力了！(情感导师）,南一锤石,14000.0
英雄联盟,1005344,国服第一神木木,小骚豆丶,14000.0
英雄联盟,5777030,峡谷之巅辅助=。=,青禾乐子oO,14000.0
英雄联盟,7947979,你喜欢的样子娜娜都有~,吴娜娜深圳,13000.0
英雄联盟,539455,铅笔：男枪专场,WG丶铅笔,13000.0
英雄联盟,7058182,❤萧妹儿：双双白给❤,萧妹儿呀,13000.0
英雄联盟,6905383,留一手，给AD,只想用辅助保护你,13000.0
英雄联盟,588642,黑色玫瑰，佛系躺分怪物之旅,我不吃鱼吖,13000.0
英雄联盟,8190736,因为热爱所以联盟 8190736,两年没见你了,13000.0
英雄联盟,2276040,苦练30年铁斧水上漂丶,广东渣渣文丶,13000.0
英雄联盟,7867121,开心下棋，谁打我我干誰,联盟猛男阿天呀,13000.0
英雄联盟,5080999,炼金教学战必胜攻必取,杨晨炼金,13000.0
英雄联盟,140781,大师张艺术解说 认真上分,苏胡的张张,13000.0
英雄联盟,245199,瑟提饭豪必看教学：一秒八拳秒天秒地,哈哈皮腕豪,13000.0
英雄联盟,8383680,克隆克隆大乱斗 黑色小厨神！！,远仔很猛,13000.0
英雄联盟,3944141,艾欧尼亚之死亡钻二，,阿坤dy,13000.0
英雄联盟,463428,圈圈：有人上车不~~~~,爱笑的圈圈呀,13000.0
英雄联盟,1856550,许愿关注破百,雨先森哦,13000.0
英雄联盟,5525055,昨晚没睡，失误多见谅！,一梦梦浮华,12000.0
英雄联盟,256859,小桥呀：电一快乐灵活组排上车DD~,小桥呀丨,12000.0
英雄联盟,1599668,网二11800场乱斗小姐姐,西西Princess,12000.0
英雄联盟,6084829,河南省第二吸血鬼,林辰II小魔王,12000.0
英雄联盟,4337354,瓜皮上单的一天,love彤彤的峰峰,12000.0
英雄联盟,7474897,小新锐雯：3000场老锐雯！,a小新之助,12000.0
英雄联盟,259946,阿狸king,饺子丶阿狸,12000.0
英雄联盟,677090,❤️直播第一天，克隆大作战❤️,奇怪的雁回OwO,12000.0
英雄联盟,7954086,奇怪的打野 7954086,主播菜猩猩,12000.0
英雄联盟,5177198,奇亚娜-元素女皇-琪亚娜,吴立1青,12000.0
英雄联盟,5735391,黑色找一个师傅带上分,胖七妹,12000.0
英雄联盟,4614327,中路导师 网一上王者送粉丝,姜崽Jzzs,12000.0
英雄联盟,7586288,进来5分钟不笑算我输！,话唠小啊黑,12000.0
英雄联盟,8485818,黑色人马艾克高胜率冲王者,小战马丶,12000.0
英雄联盟,7849673,卡莎专场 详细教学,阿森森C,12000.0
